City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,micheweni,-4.9667,39.8333,80.46,78,100,10.89,TZ,1675540461
271,hirara,24.8,125.2833,68.76,71,63,14.34,JP,1675540461
272,arraial do cabo,-22.9661,-42.0278,91.36,62,0,16.11,BR,1675540461
273,severo-kurilsk,50.6789,156.125,25.88,73,100,6.44,RU,1675540462
274,nuuk,64.1835,-51.7216,9.21,85,40,33.38,GL,1675540305
275,zhuanghe,39.7008,122.9911,29.12,69,0,3.06,CN,1675540462
276,lamu,-2.2717,40.902,79.02,86,46,11.77,KE,1675540463
277,okhotsk,59.3833,143.3,-15.61,82,45,11.63,RU,1675540463
278,ostrovnoy,68.0531,39.5131,12.56,85,99,10.58,RU,1675540464
279,vasto,42.1243,14.7059,47.44,46,100,19.98,IT,1675540464
280,taveta,-3.3963,37.6736,75.58,53,63,7.67,KE,1675540464
281,loralai,30.3705,68.598,49.89,33,0,3.44,PK,1675540465
282,nanortalik,60.1432,-45.2371,25.9,81,100,26.73,GL,1675540465
283,hays,30.0502,-98.0336,61.63,64,81,5.01,US,1675540466
284,libourne,44.9167,-0.25,48.7,83,45,6.98,FR,1675540466
285,hami,42.8,93.45,30.47,36,100,4.41,CN,1675540467
286,sao filipe,14.8961,-24.4956,72.05,62,53,13.15,CV,1675540467
287,yenagoa,4.9247,6.2642,79.86,81,98,7.83,NG,1675540467
288,karoi,-16.8099,29.6925,65.52,92,100,4.09,ZW,1675540468
289,narsaq,60.9167,-46.05,30.42,90,100,19.6,GL,1675540468
290,kiama,-34.6833,150.8667,64.99,70,0,5.01,AU,1675540469
291,samarai,-10.6167,150.6667,81.12,78,97,5.73,PG,1675540469
292,necochea,-38.5473,-58.7368,72.55,44,0,10.98,AR,1675540469
293,vao,-22.6667,167.4833,79.25,87,81,19.95,NC,1675540470
294,merauke,-8.4667,140.3333,76.55,92,100,5.79,ID,1675540470
295,yerkoy,39.6381,34.4672,29.8,89,100,1.52,TR,1675540471
296,furano,43.2818,142.4743,9.66,97,81,1.41,JP,1675540471
297,naze,28.3667,129.4833,56.32,68,100,10.76,JP,1675540471
298,sanandaj,35.3144,46.9923,32.02,60,75,4.61,IR,1675540472
299,huarmey,-10.0681,-78.1522,75.97,73,87,9.53,PE,1675540472
300,partapur,23.6,74.1667,66.36,28,21,3.96,IN,1675540473
301,saint-leu,-21.15,55.2833,77.86,80,100,5.17,RE,1675540473
302,kapit,2.0167,112.9333,71.15,99,100,0.96,MY,1675540473
303,khorol,49.7837,33.2783,26.35,92,100,10.69,UA,1675540474
304,fare,-16.7,-151.0167,81.27,73,22,17.52,PF,1675540474
305,novopokrovka,49.8425,36.5477,28.92,94,99,4.27,UA,1675540475
306,grande prairie,55.1667,-118.8027,33.98,75,75,3.44,CA,1675540224
307,sitka,57.0531,-135.33,33.69,86,100,4.61,US,1675540475
308,batagay-alyta,67.8006,130.4114,-33.7,91,97,3.24,RU,1675540476
309,shu,43.5983,73.7614,30.31,95,100,1.52,KZ,1675540477
310,nsoko,-27.0333,31.95,76.26,95,2,4.61,SZ,1675540477
311,vilyuysk,63.7553,121.6247,-24.74,98,100,5.17,RU,1675540478
312,kutum,14.2,24.6667,64.94,15,100,8.7,SD,1675540478
313,vinukonda,16.05,79.75,69.31,83,0,3.09,IN,1675540479
314,patos,-7.0244,-37.28,95.61,26,97,14.65,BR,1675540205
315,catuday,16.2923,119.8062,74.77,70,100,13.53,PH,1675540479
316,imbituba,-28.24,-48.6703,76.87,80,34,11.07,BR,1675540377
317,bull savanna,17.8868,-77.5902,78.53,65,30,11.1,JM,1675540480
318,brandon,27.9378,-82.2859,79.2,57,0,14.97,US,1675540335
319,milton,34.1322,-84.3007,52.25,38,98,3.0,US,1675540250
320,yumen,40.2833,97.2,26.4,38,100,11.59,CN,1675540481
321,port lincoln,-34.7333,135.8667,59.13,80,43,3.85,AU,1675540481
322,saint george,37.1041,-113.5841,57.43,37,0,1.01,US,1675540481
323,haines junction,60.7522,-137.5108,12.15,73,100,3.44,CA,1675540482
324,gazojak,41.1875,61.4036,35.51,67,0,9.44,TM,1675540483
325,valparaiso,-33.0393,-71.6273,71.24,72,40,18.41,CL,1675540413
326,labuhan,-6.8844,112.2051,77.16,88,100,7.38,ID,1675540483
327,gigmoto,13.7796,124.39,76.89,88,95,13.51,PH,1675540483
328,kushima,31.4583,131.2333,44.85,84,100,4.63,JP,1675540484
329,dembi dolo,8.5333,34.8,67.23,32,83,4.27,ET,1675540484
330,champasak,14.75,106.0,72.81,74,94,1.77,LA,1675540486
331,santiago,-33.4569,-70.6483,94.28,32,0,10.36,CL,1675540406
332,bastia,42.6667,9.3333,52.3,87,0,5.75,FR,1675540487
333,koumac,-20.5667,164.2833,80.92,78,28,2.98,NC,1675540487
334,vokhma,58.9303,46.7586,18.27,98,100,1.5,RU,1675540487
335,miguel auza,24.2933,-103.4503,73.71,17,69,11.81,MX,1675540488
336,springfield,37.2153,-93.2982,49.03,57,0,12.66,US,1675540279
337,mercedes,-34.6515,-59.4307,83.95,20,0,10.96,AR,1675540488
